rule_id,rule_name,origin_race,added_date,status,direction,scope
R26,2歳戦（キャリア3戦以下が主体のレース）では最終点の点差を根拠とした消しを禁止し、消しは構造フィルタ（キャリア・馬体重・ローテ等の消し級データ）のみで行う。工程2の5走要件・R25の5走精査は全キャリア確認で充足とみなす。馬場実績ゲートは血統・馬格からの推定で代替し推定根拠をnotesに明記。時計・実績が評価不能の馬は減点でなく中立×1.0とし妙味トラックで別評価,函館2歳S2026設計時,2026-07-18,暫定(n=10判定),上向き,印確定前
R27,想定馬場が重・不良のときはペーススコアが前崩れ域（7以上）でも「前崩れ」を本線シナリオにしない。道悪では前傾ラップでも4角6番手以内で決着する（七夕賞2026 稍重2.3秒前傾→内前残り／北九州記念2026 重→4角2番手以内が1-2着／函館2歳S2026 重2.0秒前傾→4角6番手以内で決着）。前残り〜好位残りを本線とし差し・追込型を◎○に置く場合は独立根拠2つを要する,函館2歳S2026,2026-07-19,廃止(2026-07-22・R29へ統合／内容は全てR29が包含),手続き,印確定前
R28,荒れ度帯域表が指定する券種構成と予算比は予算額に関わらず維持する。予算を縮小する場合は各券種の単価・点数を按分して削り券種そのものを落とさない。やむを得ず落とす場合は堅実側から落とし穴側(三連複軸1頭・ワイド穴)を最後まで残す。ゲート②で券種充足と予算比を機械照合し欠落・乖離がある状態で確定しない,小倉記念2026,2026-07-19,暫定(n=10判定),双方向,買い目
R29,想定馬場が重・不良のときはペーススコアが前崩れ域(7以上)でも前崩れを本線シナリオにしない。道悪では前傾ラップでも4角6番手以内で決着する(七夕賞2026 稍重2.3秒前傾→内前残り/北九州記念2026 重→4角2番手以内が1-2着/函館2歳S2026 重2.0秒前傾→4角6番手以内で決着)。あわせて道悪ではハナ争い当事者を理由とする係数減点(0.85)を適用しない。前崩れを本線にする場合は独立根拠2つを要する,函館2歳S2026,2026-07-19,暫定(n=10判定),手続き,印確定前
R30,降水が継続中または発走時間帯の降水確率が高い状況では、朝の含水率・クッション値・直前レースの実馬場を発走時点の馬場として採用しない。当日実馬場の確認は必ず「以後の降水予報」とセットで行い、予報が悪化方向のときは馬場読みを確定させず、確定済みの印・券種構成を暫定馬場読みだけで組み替えない。組み替える場合はrule_firesにR08違反として記録する,関屋記念2026,2026-07-26,暫定(n=10判定),手続き,買い目
R31,買い目確定前に「軸馬が3着内を外した場合、全券種が不的中になる構成か」を判定する。該当する場合は(1)軸候補を最終点上位3頭で比較し選定理由を1行記録する、(2)軸抜けの決着を拾える券種を併設する、のいずれかを行う。帯域を問わず適用し、軸を誰にすべきかは規定しない(検証待ち仮説12の判定に委ねる),関屋記念2026,2026-07-26,暫定(n=10判定),双方向,買い目
R32,買い目確定前に全券種の紐リストを集合として突合し、ある券種の相手・列に採用した馬が他券種の該当列から欠落している場合は欠落理由を1行記録する。妙味閾値到達の有無を問わない（R24は妙味閾値到達馬のみを対象とするため、閾値未満の紐が券種間で欠落する穴が残る）,クイーンS2026,2026-08-02,暫定(n=10判定),双方向,買い目
R33,直線競走（course に「直」を含む＝新潟芝1000直等）ではペーススコアを根拠とした「前崩れ」の本線宣言を禁止する。4角が存在せず位置取り不利の機序が働かないため、pace_flag_pre は前残り〜中立から選ぶ。前崩れを本線にする場合はコーナー戦以外の独立根拠2つを要する。あわせて千直で通過順データ不在により脚質判定不能な馬が3頭以上いる場合はペーススコア自体を判定材料から外す,アイビスサマーダッシュ2026,2026-08-02,暫定(n=10判定),手続き,印確定前
R34,工程6の完了時にbase_score最上位馬の最終点順位を機械照合し、合成係数・加算層の減点により◎○▲☆の圏外へ落ちる場合は(1)減点根拠が独立2要素あることを1行記録するか(2)当該馬を全券種の紐に残すかのいずれかを必須とする。係数値そのものの変更は行わない（R19を侵さない検出専用ゲート）,アイビスサマーダッシュ2026,2026-08-02,暫定(n=10判定),上向き,印確定前
R35,☆はR≧4.0の裏付けがある馬を優先する。R<4.0の馬を☆に置く場合は(1)Rトリガー以外の妙味根拠を1行記録し(2)当該馬を全券種の3着紐に保全する。第1回較正レビュー実測：☆でR≧4.0はn=6複勝4(67%)、R<4.0はn=8複勝1(13%)。☆全体の単勝ROI194%はR≧4.0側に偏在している,第1回較正レビュー(検証待ち仮説3の判定),2026-08-02,暫定(n=10判定),上向き,両方
R36,買い目確定前に「レース内 final_score 上位2頭の直積（2頭同時に含む買い目）」を持つ券種が1つ以上あることを照合する。無い場合は最小構成のワイド1〜3点を追加するか、欠落理由を1行記録する。軸抜け保全（R23・R31）に寄せて上位2頭の組合せが全券種から消える穴を塞ぐ,CBC賞2026（◎③2着・☆⑥3着でワイド3-6=750円を保持していなかった）,2026-08-09,暫定(n=10判定),双方向,買い目
